,JwMarriot_reviews
0,The best stay with amazing facilities and service. The staff is very helpful and friendly! It has really good hands on staff for any help or problem. My family totally loves this place. Hope to visit again after the pandemic.
1,"We had booked the night stay to celebrate birthday of our little princess, which turned out to be lifetime memorable, as they had upgraded us to Presidential suite for our comfort and also made special arrangements to make our day special. We and our guests had a luxurious day!   Suite was very spacious and elegant with mesmerising view, Buffet meals at Lotus cafe were mouth watering with huge variety of dishes. Hospitality extended by the staff, made us feel at home.  Would like to convey our special thanks to Ms.Rashmi ( Guest Relations ), Mr. Satish ( F&B ) Mr. Sohaib ( Duty manager ), Ms. Amen and Mr.Rohit Tiwari ( Manager ) for making all the required arrangements.  Looking forward to visit again and again!!"
2,JW Marriott or Marriott is always the best choice. We had a Birthday celebration and they upgraded our room to the best one. Staff is always courteous. It’s all their training. Breakfast is good but lunch and dinner are better. We are Marriott members since a long time and we will always continue to choose this brand for our stay. Cheers
3,Its expensive but they take good care of you. Rooms are cleaned everyday and the staff is warm and welcoming . My stay was great and everything seemed to be focussed on customer satisfaction and luxury. Will visit again.
4,"For a short stay, JWM Juhu offered a great city retreat. Food, service and room quality exceeded my expectations, but most importantly the warmth of the hotel staff made coming out of lockdown absolutely delightful."
5,"Having locked at home for 8 months, it was time to step out. But being pregnant and traveling with a 6 yr old daughter was a challenge.. Yet we needed a break from all the stressful days managing work and home on our own.. We didn't want to travel outside Mumbai and having heard of stayacations offerings from various hotels around we decided to go for this safest option.. After scanning through various luxurious hotels in Mumbai we decided JW Marriott, Juhu to be best option.. Located on Juhu Beach, ease to travel, and was offering a great deal with complimentary activities for kids (though their website mentioned different activities but whatever was offered kept my daughter happy). We had booked Deluxe room which was upgraded to premium category with best ocean view ever.."
6,The worst service ever for a 5 star hotel they don't pick your phone up or clean your room.they kept my call waiting for 10 minutes and still didn't clean my room after I came back after 2-3 hours this is the worst hotel I have ever been to.
7,"Being 9 months pregnant, safety and comfort was prime for my anniversary staycation. JW Marriott staff went beyond expectations to ensure that all my requirements with regards to safety, check-in process etc were completely taken care of. Especially the check-in process, of which I had heard horror stories from guests of other 5 star hotels, with JW Marriott it was a cake-walk, again all thanks to the staff. Here I would like to especially call out Ms. Rashmi Trivedi, who guided me right from before check-in to the check-out process, ensuring that our small staycation was the best. I have not experienced this level of personal touch and hospitality even in Bali resorts! Secondly also a thanks to Radhika from front desk for making our check in process so swift. The buffet"
8,It was an excellent experience that we had at the JW which is undoubtedly one of the best properties in town. The staff was really supportive and made sure that we get each and every thing that we want at our disposal. Had a lot of fun here😀
9,It was a fabulous stay of 8 days with top notch hospitality. Yuvraj was very helpful and cooperative with everything that we required and asked for. The food was great and the stay was fabulous along with great service.
10,"After nine long months staying at home we finally decided to start with a staycation again. And, m glad we chose jwmarriot juhu. Beautiful property at the beach. Every staff of the hotel took all necessary precautions. like masks, sanitizers...through out our stay. Rooms were spot less. Very comfy bed and pillows. Good quality sleep.  We got an ocean view club room. Room has all the amenities. Spacious room, perfect for us (two adults one toddler). Our package includes buffet breakfast, high tea and a dinner. Plus, we had a sunday brunch too. Huge spread, as sunday brunch should be. Fresh seafood, salads, live stations, dessert station, cold cuts, sushi, fresh juices... Nd much much more. Their indian section was quite impressive coz, instead of just regular curries there were"
11,"During the COVID times where we dint have the place to do our online festival , jw made it possible For us I don’t think any other hotel would be possible to do it . Thank you for all the service what you guys have given to us specially taking care of our safety for more than 9 days. We have not even faced a single problem, we would love to associate with you guys in the future and we would like to thank mr Srikant from sales , Akshay from sales too and mr yuvraj from f&b, Abhsihek from front office . Specially thank you to these people ."
12,"I would like to thank Mr.Yuvraj from F N B, who really took care of our event and he was at service whenever we called him. His hospitality was wonderful and I would like to wish him all the very best for his future. We would also like to thank Jw Mariott Mumbai for having us here and helping us to close this event and make this event a grand success. We would like to be associated with the hotel in future too for our other social events"
13,"Amazing experience at jw mumbai. We were here for a week for an event. Nice food and ambience.. we thank mr akshay shetty from sales who who helped us in  every detailing of this event.  Regards, Rishabh Jain"
14,Amazing experience. Very cooperative staff😍 Nice food and ambience.. one of the finest properties of mumbai and we would like to thank Mr. Shrikant from sales who helped us making this event a grand success.
15,"Overlooking the beach we had a near perfect room. Safety precautions were excellent, meals were good particularly the breakfast. Cannot forget the walk on the beach and the sunset view. Staff was courteous and helpful."
16,"All team members of JW are much more helpful than expected.perticularly NELINI mam and RAshmi mam, we truly appreciate and respect your help and hospitality beyond Evan JW.will keep in mind the same personally."
17,"Stayed here for 2 nights. The check in and check out were quick. The room was good. The walk to the suite from the elevator is really long. However the view is breathtaking and worth the walk. Access to the beach from the hotel is only from 7-9 am and 5-7 pm. Room service was good. Housekeeping asked us when he can clean the room, we asked him to come at 5pm when we would be away but he never turned up. The windows in the room had fingerprints from the previous guests. Although you cannot use the pool, which is ok considering covid, was not clean.  The breakfast spread was good and we enjoyed it. Being a BonVoy member, we understand the cleanliness standards set by Marriott and that is why we chose this property. Unfortunately this was a let down. I hope the management can"
18,"I stayed at this hotel with my family for my Diwali holidays. Unaware fully of my booked room (Studio Suite Room) being so small, I was not given an upgrade although through my Marriott Bonvoy membership or even on a chargeable basis with the excuse that rooms are not available! The Room was so small that it was not having Office Table & Chair and instead a Dining Table for 2 was there. To place an extra bed in the room, we need to remove this Dining Table! I felt that monopoly attitude which I felt few years back is not changed till the time and even in tough time for hospitality industry. Except selected room, F&B dept. was good & staff was courteous. Especially, Gurvinder Vilkhu from F&B and Rashmi from the Front Office were very much courteous."
